Drop height,Capillary radius,R-s,R-e,Apex Radius,XGBoost Beta,image
2.2888281531025916,1.1155147311838387,1.0403764332284506,0.9767978734200454,173.01429968134886,0.51494867,d.7.55.png
2.3089238293312144,1.0961557573592633,1.0436802157835539,0.9853740584772102,171.5084728952286,0.5177113,d.2.05.png
2.2849169761890002,1.084758564453364,1.0328286331763412,0.9751287095352047,173.31045465839466,0.51409763,d.8.05.png
2.304622893493813,1.1203834217740702,1.0391120854795781,0.9810611309835123,172.26245609239228,0.51494867,d.3.55.png
2.2721158961068366,1.0789696089552567,1.021881269857095,0.9705017646687494,175.16712095626556,0.50677514,d.1.55.png
2.3064499445065723,1.0949812867859485,1.0425619698653446,0.984318284398007,171.6924318878803,0.5177113,d.0.55.png
2.2926357465110287,1.0884230311719025,1.036317673296652,0.9784228312130402,172.7269587428528,0.51641923,d.1.05.png
2.2954165945634313,1.0897432317624371,1.0375746727950863,0.9796096072758078,172.5177037309499,0.51641923,d.4.05.png
2.298963111805176,1.0972323942706523,1.0391777702351679,0.9811231461996838,172.25156765958528,0.51492745,d.3.05.png
2.293225910152649,1.1260853574151115,1.0615700504798706,1.0029197714478337,170.50217262457716,0.527844,d.5.55 copy.png
2.131702389258687,0.999401618904322,0.9462419583243049,0.8983982638022895,188.11256300155966,0.5608938,d.5.05.png
2.266205842021713,1.0989390138447,1.0363051840400799,0.9736713542354596,175.62394051766225,0.5168272,d.6.55.png
1.8760546195258785,0.8906521931082454,0.8480145881190209,0.8006394714643269,211.08127443543097,0.41526112,d.55.png
2.2478036274697795,1.0620872139794708,1.0002726142240517,0.9496970326059817,177.95148789320913,0.49711245,d.4.55.png
2.2797651618998396,1.0765557708971465,1.0247429263085137,0.9671730989878107,173.70210169805117,0.5087478,d.2.55.png
2.2715018409708394,1.0841258786451733,1.0267647210448996,0.9694035634446259,174.33399914426207,0.5115931,d.6.05.png
2.3231044685202984,1.1204872562812551,1.0500901511745793,0.9914258969190162,170.46155494342975,0.52153707,d.5.55.png
2.2162697641205384,1.0416467891366532,0.9917807194439411,0.9363739753409276,180.48344406247324,0.49722412,d.7.05.png
